state,crop,planted,volunteer,failed,prevented,not_planted,planted_and_failed
Alabama,BARLEY,142.42,0.00,0.00,0.00,0.00,142.42
Alabama,CORN,267702.05,0.00,19.00,590.52,0.00,267721.05
Alabama,OATS,9281.02,0.00,0.00,0.00,0.00,9281.02
Alabama,RICE,16.00,0.00,0.00,0.00,0.00,16.00
Alabama,SORGHUM,4437.43,0.00,0.00,32.48,0.00,4437.43
Alabama,SOYBEANS,339723.05,0.00,419.94,1398.01,0.00,340142.99
Alabama,WHEAT,109384.99,0.00,898.74,2375.17,0.00,110283.73
Alaska,BARLEY,5116.11,0.00,0.00,1661.72,0.00,5116.11
Alaska,OATS,964.51,0.00,0.00,77.68,0.00,964.51
Alaska,WHEAT,97.36,0.00,0.00,269.72,0.00,97.36
Arizona,BARLEY,14381.82,0.00,0.00,835.76,0.00,14381.82
Arizona,CORN,77956.54,0.00,0.00,13049.67,0.00,77956.54
Arizona,OATS,30498.40,0.00,0.00,0.00,0.00,30498.40
Arizona,SORGHUM,21312.96,0.00,0.00,0.00,0.00,21312.96
Arizona,SOYBEANS,8.29,0.00,0.00,0.00,0.00,8.29
Arizona,SUGAR BEETS,764.60,0.00,0.00,0.00,0.00,764.60
Arizona,WHEAT,96526.18,0.00,184.94,1566.67,0.00,96711.12
Arkansas,CORN,695366.78,0.00,2573.80,274248.89,0.00,697940.58
Arkansas,OATS,5657.62,0.00,0.00,0.00,0.00,5657.62
Arkansas,RICE,1082494.64,17.03,16627.49,264668.42,0.00,1099122.13
Arkansas,SORGHUM,9062.32,0.00,253.98,1619.12,0.00,9316.30
Arkansas,SOYBEANS,3155356.49,23.71,5430.96,34547.51,0.00,3160787.45
Arkansas,WHEAT,185006.12,0.00,982.89,7241.96,0.00,185989.01
California,BARLEY,34822.90,534.60,0.00,3971.86,0.00,34822.90
California,CORN,305357.08,0.00,0.00,5909.77,0.00,305357.08
California,OATS,71126.42,734.21,0.00,24.49,0.00,71126.42
California,RICE,242982.79,0.00,68.04,301500.94,0.00,243050.83
California,SORGHUM,19621.12,0.00,0.00,0.00,0.00,19621.12
California,SUGAR BEETS,17008.89,0.00,0.00,0.00,0.00,17008.89
California,WHEAT,360799.50,1578.83,156.59,6332.21,0.00,360956.09
Colorado,BARLEY,51290.62,0.00,2501.02,6314.60,0.00,53791.64
Colorado,CORN,1315267.35,0.00,4657.85,192647.22,0.00,1319925.20
Colorado,OATS,40155.99,0.00,2977.59,490.19,0.00,43133.58
Colorado,SORGHUM,451915.40,180.63,774.64,57469.61,0.00,452690.04
Colorado,SOYBEANS,10895.81,0.00,335.65,233.67,0.00,11231.46
Colorado,SUGAR BEETS,21256.80,0.00,2045.05,613.89,0.00,23301.85
Colorado,WHEAT,1631408.24,2362.56,410719.56,5001.17,0.00,2042127.80
Connecticut,BARLEY,125.44,0.00,0.00,0.00,0.00,125.44
Connecticut,CORN,23344.58,0.00,50.50,0.00,0.00,23395.08
Connecticut,OATS,60.85,0.00,0.00,0.00,0.00,60.85
Connecticut,SORGHUM,15.01,0.00,0.00,0.00,0.00,15.01
Connecticut,SOYBEANS,310.74,0.00,0.00,0.00,0.00,310.74
Connecticut,WHEAT,15.95,0.00,0.00,0.00,0.00,15.95
Delaware,BARLEY,12605.86,0.00,0.00,0.00,0.00,12605.86
Delaware,CORN,166818.49,0.00,0.00,0.00,0.00,166818.49
Delaware,OATS,101.05,0.00,0.00,0.00,0.00,101.05
Delaware,SORGHUM,3083.02,0.00,0.00,0.00,0.00,3083.02
Delaware,SOYBEANS,157797.46,0.00,0.00,0.00,0.00,157797.46
Delaware,WHEAT,44554.29,0.00,384.20,0.00,0.00,44938.49
Florida,BARLEY,148.42,0.00,0.00,0.00,0.00,148.42
Florida,CORN,62960.11,0.00,0.00,0.00,0.00,62960.11
Florida,OATS,9621.78,0.00,0.00,0.00,0.00,9621.78
Florida,RICE,19319.24,0.00,0.00,0.00,0.00,19319.24
Florida,SORGHUM,1640.30,0.00,0.00,0.00,0.00,1640.30
Florida,SOYBEANS,21784.28,0.00,0.00,0.00,0.00,21784.28
Florida,WHEAT,2295.69,0.00,0.00,0.00,0.00,2295.69
Georgia,BARLEY,77.00,0.00,0.00,0.00,0.00,77.00
Georgia,CORN,416972.64,0.00,89.50,201.85,0.00,417062.14
Georgia,OATS,35244.29,94.85,0.00,0.00,0.00,35244.29
Georgia,RICE,287.44,0.00,0.00,0.00,0.00,287.44
Georgia,SORGHUM,22626.37,0.00,0.00,91.37,0.00,22626.37
Georgia,SOYBEANS,158149.39,0.00,0.00,403.63,0.00,158149.39
Georgia,WHEAT,112618.84,0.00,4.60,1279.29,0.00,112623.44
Guam,CORN,0.82,0.00,0.00,0.00,0.00,0.82
Idaho,BARLEY,538179.18,117.88,520.01,11059.50,0.00,538699.19
Idaho,CORN,301083.02,1.39,29.99,15425.05,0.00,301113.01
Idaho,OATS,27660.69,0.00,0.00,1238.77,0.00,27660.69
Idaho,SORGHUM,256.95,0.00,0.00,0.00,0.00,256.95
Idaho,SUGAR BEETS,170418.22,0.00,2153.31,668.16,0.00,172571.53
Idaho,WHEAT,1087984.59,968.71,9826.07,32897.02,0.00,1097810.66
Illinois,BARLEY,992.36,0.00,0.00,0.00,0.00,992.36
Illinois,CORN,10683424.49,2.74,2701.84,14748.97,0.00,10686126.33
Illinois,OATS,17862.51,0.00,31.28,55.23,0.00,17893.79
Illinois,RICE,1430.72,0.00,0.00,706.08,0.00,1430.72
Illinois,SORGHUM,7030.90,0.00,0.00,0.00,0.00,7030.90
Illinois,SOYBEANS,10712753.76,0.05,809.12,6179.41,0.00,10713562.88
Illinois,WHEAT,547662.88,180.64,2684.89,95133.93,0.00,550347.77
Indiana,BARLEY,1920.22,0.00,2.13,0.00,0.00,1922.35
Indiana,CORN,5293225.99,1.22,2866.19,24609.73,0.00,5296092.18
Indiana,OATS,3577.82,0.00,0.00,0.00,0.00,3577.82
Indiana,SORGHUM,9456.61,0.00,0.00,0.00,0.00,9456.61
Indiana,SOYBEANS,5809595.17,0.00,685.30,3859.53,0.00,5810280.47
Indiana,WHEAT,240817.67,0.00,4734.62,21738.62,0.00,245552.29
Iowa,BARLEY,1971.70,0.00,0.00,0.00,0.00,1971.70
Iowa,CORN,12760378.92,0.00,885.14,2268.01,0.00,12761264.06
Iowa,OATS,82096.18,0.00,36.78,69.73,0.00,82132.96
Iowa,SORGHUM,4805.16,0.00,0.00,0.00,0.00,4805.16
Iowa,SOYBEANS,10020538.75,0.00,1880.73,2735.70,0.00,10022419.48
Iowa,WHEAT,18739.86,0.00,59.15,0.00,0.00,18799.01
Kansas,BARLEY,12915.97,0.00,0.00,0.00,0.00,12915.97
Kansas,CORN,5439137.97,0.00,2050.53,149413.47,0.00,5441188.50
Kansas,OATS,97417.41,0.00,426.25,0.00,0.00,97843.66
Kansas,RICE,2.79,0.00,0.00,0.00,0.00,2.79
Kansas,SORGHUM,2893287.94,0.00,749.70,38461.37,0.00,2894037.64
Kansas,SOYBEANS,5007849.77,153.79,448.70,7013.53,0.00,5008298.47
Kansas,WHEAT,7422355.60,603.13,64910.36,13522.66,0.00,7487265.96
Kentucky,BARLEY,2210.10,0.00,0.00,0.00,0.00,2210.10
Kentucky,CORN,1391894.59,0.00,536.82,7110.85,0.00,1392431.41
Kentucky,OATS,1438.19,0.00,0.00,0.00,0.00,1438.19
Kentucky,RICE,0.00,0.00,0.00,99.24,0.00,0.00
Kentucky,SORGHUM,1460.43,0.00,0.00,0.00,0.00,1460.43
Kentucky,SOYBEANS,1913751.73,0.00,249.50,1241.96,0.00,1914001.23
Kentucky,WHEAT,444447.72,0.00,840.18,7887.81,0.00,445287.90
Louisiana,CORN,438060.26,0.00,2651.71,69177.17,0.00,440711.97
Louisiana,OATS,2104.02,0.00,0.00,0.00,0.00,2104.02
Louisiana,RICE,415726.32,32.38,5539.17,7731.20,0.00,421265.49
Louisiana,SORGHUM,22040.32,0.00,0.00,0.00,0.00,22040.32
Louisiana,SOYBEANS,1248699.59,0.00,1109.35,6955.11,0.00,1249808.94
Louisiana,WHEAT,48655.45,0.00,0.00,1643.67,0.00,48655.45
Maine,BARLEY,9262.35,0.00,0.00,0.00,0.00,9262.35
Maine,CORN,27904.99,0.00,2.50,0.00,0.00,27907.49
Maine,OATS,25225.10,0.00,0.00,193.62,0.00,25225.10
Maine,SORGHUM,15.00,0.00,0.00,0.00,0.00,15.00
Maine,SOYBEANS,640.36,0.00,0.00,0.00,0.00,640.36
Maine,WHEAT,1656.94,0.00,0.00,0.00,0.00,1656.94
Maryland,BARLEY,15721.03,0.00,0.00,0.00,0.00,15721.03
Maryland,CORN,407336.27,0.00,0.00,0.00,0.00,407336.27
Maryland,OATS,1929.91,0.00,15.49,0.00,0.00,1945.40
Maryland,SORGHUM,10099.67,0.00,0.00,0.00,0.00,10099.67
Maryland,SOYBEANS,509126.09,0.00,0.00,335.91,0.00,509126.09
Maryland,WHEAT,142289.30,2.36,283.41,0.00,0.00,142572.71
Massachusetts,BARLEY,121.11,0.00,0.00,0.00,0.00,121.11
Massachusetts,CORN,14414.96,0.00,0.00,0.00,0.00,14414.96
Massachusetts,OATS,269.14,0.00,0.00,0.00,0.00,269.14
Massachusetts,SORGHUM,24.07,0.00,0.00,0.00,0.00,24.07
Massachusetts,SOYBEANS,458.84,0.00,0.00,0.00,0.00,458.84
Massachusetts,WHEAT,57.79,0.00,0.00,0.00,0.00,57.79
Michigan,BARLEY,2521.68,0.00,15.00,7.00,0.00,2536.68
Michigan,CORN,2250696.58,0.00,62.16,17944.47,0.00,2250758.74
Michigan,OATS,30024.93,0.00,0.75,265.25,0.00,30025.68
Michigan,SORGHUM,1793.15,0.00,0.00,0.00,0.00,1793.15
Michigan,SOYBEANS,2199329.78,0.00,1269.36,15287.15,0.00,2200599.14
Michigan,SUGAR BEETS,138893.57,0.00,423.26,0.00,0.00,139316.83
Michigan,WHEAT,390719.12,333.99,10504.74,76841.45,0.00,401223.86
Minnesota,BARLEY,54991.91,0.00,0.00,1805.34,0.00,54991.91
Minnesota,CORN,7977723.34,0.00,443.93,271786.46,0.00,7978167.27
Minnesota,OATS,140315.47,0.00,39.00,1447.51,0.00,140354.47
Minnesota,SORGHUM,2943.30,0.00,0.00,0.00,0.00,2943.30
Minnesota,SOYBEANS,7349906.98,0.00,261.97,105839.92,0.00,7350168.95
Minnesota,SUGAR BEETS,433944.52,0.00,515.60,184.40,0.00,434460.12
Minnesota,WHEAT,1205029.20,0.00,427.11,113630.32,0.00,1205456.31
Mississippi,CORN,567703.06,0.00,2774.99,132163.10,0.00,570478.05
Mississippi,OATS,2253.27,0.00,0.00,0.00,0.00,2253.27
Mississippi,RICE,84490.43,0.00,75.52,17332.33,0.00,84565.95
Mississippi,SORGHUM,2609.63,0.00,0.00,0.00,0.00,2609.63
Mississippi,SOYBEANS,2288032.18,0.00,1638.75,5205.16,0.00,2289670.93
Mississippi,WHEAT,79039.66,0.00,15.00,4240.68,0.00,79054.66
Missouri,BARLEY,2127.80,0.00,9.81,0.00,0.00,2137.61
Missouri,CORN,3273453.02,0.00,6003.72,97122.37,0.00,3279456.74
Missouri,OATS,5025.61,0.00,56.29,16.44,0.00,5081.90
Missouri,RICE,150243.48,0.00,3560.87,36793.92,0.00,153804.35
Missouri,SORGHUM,33196.41,0.00,59.56,108.05,0.00,33255.97
Missouri,SOYBEANS,6064555.05,0.00,1582.04,10069.38,0.00,6066137.09
Missouri,WHEAT,509893.06,0.00,5017.42,36737.69,0.00,514910.48
Montana,BARLEY,971154.60,54.44,3912.54,4787.63,0.00,975067.14
Montana,CORN,123123.64,0.00,151.89,851.64,0.00,123275.53
Montana,OATS,74328.71,0.00,0.00,34.08,0.00,74328.71
Montana,SORGHUM,2363.30,0.00,0.00,0.00,0.00,2363.30
Montana,SOYBEANS,17639.58,0.00,333.86,0.00,0.00,17973.44
Montana,SUGAR BEETS,33655.07,0.00,127.56,0.00,0.00,33782.63
Montana,WHEAT,5061939.06,1525.36,167095.64,41911.82,0.00,5229034.70
Nebraska,BARLEY,11206.23,0.00,4578.62,0.00,0.00,15784.85
Nebraska,CORN,9543377.31,48.78,32802.93,5348.84,0.00,9576180.24
Nebraska,OATS,107595.56,358.71,1000.84,91.90,0.00,108596.40
Nebraska,SORGHUM,212868.42,21.50,188.44,7.50,0.00,213056.86
Nebraska,SOYBEANS,5698800.51,1.98,4823.97,475.15,0.00,5703624.48
Nebraska,SUGAR BEETS,39117.97,0.00,6419.36,0.00,0.00,45537.33
Nebraska,WHEAT,922249.95,344.31,30957.19,0.00,0.00,953207.14
Nevada,BARLEY,576.29,0.00,0.00,0.00,0.00,576.29
Nevada,CORN,10824.58,0.00,0.00,3911.31,0.00,10824.58
Nevada,OATS,584.63,0.00,0.00,0.00,0.00,584.63
Nevada,SORGHUM,867.41,0.00,0.00,0.00,0.00,867.41
Nevada,WHEAT,12753.58,0.00,0.00,2758.17,0.00,12753.58
New Hampshire,BARLEY,172.50,0.00,0.00,0.00,0.00,172.50
New Hampshire,CORN,12031.25,0.00,2.77,7.35,0.00,12034.02
New Hampshire,OATS,38.06,0.00,0.00,0.00,0.00,38.06
New Hampshire,SORGHUM,13.50,0.00,0.00,0.00,0.00,13.50
New Hampshire,SOYBEANS,263.47,0.00,0.00,0.00,0.00,263.47
New Hampshire,WHEAT,64.59,0.00,0.00,0.00,0.00,64.59
New Jersey,BARLEY,944.55,0.00,0.00,0.00,0.00,944.55
New Jersey,CORN,68229.21,0.00,22.58,149.12,0.00,68251.79
New Jersey,OATS,596.23,0.00,0.00,0.00,0.00,596.23
New Jersey,SORGHUM,1540.87,0.00,0.00,0.00,0.00,1540.87
New Jersey,SOYBEANS,102507.75,0.00,0.00,426.85,0.00,102507.75
New Jersey,SUGAR BEETS,61.70,0.00,0.00,0.00,0.00,61.70
New Jersey,WHEAT,17926.47,0.00,0.00,0.00,0.00,17926.47
New Mexico,BARLEY,10203.76,0.00,0.00,0.00,0.00,10203.76
New Mexico,CORN,99097.66,0.00,0.00,8702.52,0.00,99097.66
New Mexico,OATS,7860.60,0.00,120.29,0.00,0.00,7980.89
New Mexico,SORGHUM,63350.05,0.00,425.60,73.92,0.00,63775.65
New Mexico,SOYBEANS,185.85,0.00,0.00,0.00,0.00,185.85
New Mexico,WHEAT,513282.87,0.00,0.00,0.00,0.00,513282.87
New York,BARLEY,4141.79,0.00,82.17,38.48,0.00,4223.96
New York,CORN,993959.60,0.00,217.99,16246.77,0.00,994177.59
New York,OATS,31588.50,0.00,0.00,254.80,0.00,31588.50
New York,RICE,0.50,0.00,0.00,0.00,0.00,0.50
New York,SORGHUM,1465.06,0.00,0.00,0.00,0.00,1465.06
New York,SOYBEANS,339929.02,0.00,94.84,9552.78,0.00,340023.86
New York,WHEAT,78286.19,86.30,1578.04,24175.46,0.00,79864.23
North Carolina,BARLEY,12920.15,0.00,0.00,0.00,0.00,12920.15
North Carolina,CORN,806100.81,0.00,100.65,284.79,0.00,806201.46
North Carolina,OATS,16247.31,3.94,82.92,0.00,0.00,16330.23
North Carolina,RICE,346.76,0.00,0.00,0.00,0.00,346.76
North Carolina,SORGHUM,12662.44,0.00,0.00,0.00,0.00,12662.44
North Carolina,SOYBEANS,1669261.13,0.00,430.81,4535.23,0.00,1669691.94
North Carolina,WHEAT,428694.17,0.00,181.92,435.32,0.00,428876.09
North Dakota,BARLEY,702610.55,0.00,0.00,49523.67,0.00,702610.55
North Dakota,CORN,2907160.57,36.21,183.63,1190043.47,0.00,2907344.20
North Dakota,OATS,298309.44,58.85,0.00,10158.89,0.00,298309.44
North Dakota,SORGHUM,3038.45,0.00,0.00,0.00,0.00,3038.45
North Dakota,SOYBEANS,5667718.69,3.28,91.87,522509.76,0.00,5667810.56
North Dakota,SUGAR BEETS,249467.79,0.00,55.40,250.08,0.00,249523.19
North Dakota,WHEAT,6071293.69,85.49,1506.25,606128.04,0.00,6072799.94
Ohio,BARLEY,3994.48,0.00,158.41,0.00,0.00,4152.89
Ohio,CORN,3290405.75,0.00,2839.81,37631.75,0.00,3293245.56
Ohio,OATS,9635.87,0.00,0.00,4.66,0.00,9635.87
Ohio,SORGHUM,1085.73,0.00,0.00,0.00,0.00,1085.73
Ohio,SOYBEANS,5047089.26,88.52,1414.63,16157.06,0.00,5048503.89
Ohio,WHEAT,450275.93,43.51,13392.35,26244.43,0.00,463668.28
Oklahoma,BARLEY,39913.02,0.00,132.35,0.00,0.00,40045.37
Oklahoma,CORN,328958.91,0.00,1078.63,2313.06,0.00,330037.54
Oklahoma,OATS,27157.29,10.00,0.00,0.00,0.00,27157.29
Oklahoma,SORGHUM,394411.24,0.00,50.85,68211.93,0.00,394462.09
Oklahoma,SOYBEANS,537092.20,102.28,762.13,32724.16,0.00,537854.33
Oklahoma,WHEAT,5909763.33,1114.34,5309.10,201.55,0.00,5915072.43
Oregon,BARLEY,31119.95,626.30,44.88,2001.93,0.00,31164.83
Oregon,CORN,78736.07,45.74,61.00,5899.66,0.00,78797.07
Oregon,OATS,13197.05,12.83,0.00,118.31,0.00,13197.05
Oregon,SORGHUM,220.76,0.00,0.00,0.00,0.00,220.76
Oregon,SOYBEANS,329.89,0.00,0.00,0.00,0.00,329.89
Oregon,SUGAR BEETS,9113.92,40.16,1441.69,1599.77,0.00,10555.61
Oregon,WHEAT,728161.42,1009.52,1859.08,3931.51,0.00,730020.50
Pennsylvania,BARLEY,20694.03,0.00,18.00,0.00,0.00,20712.03
Pennsylvania,CORN,897778.88,0.00,20.06,2769.29,0.00,897798.94
Pennsylvania,OATS,32359.91,0.00,4.50,65.50,0.00,32364.41
Pennsylvania,SORGHUM,7583.49,0.00,0.00,0.00,0.00,7583.49
Pennsylvania,SOYBEANS,565021.31,0.00,83.88,614.69,0.00,565105.19
Pennsylvania,WHEAT,131594.06,24.37,72.71,1676.89,0.00,131666.77
Puerto Rico,CORN,2.91,0.00,0.00,0.00,0.00,2.91
Rhode Island,CORN,1651.34,0.00,0.00,0.00,0.00,1651.34
Rhode Island,OATS,37.57,0.00,0.00,0.00,0.00,37.57
Rhode Island,SORGHUM,11.24,0.00,0.00,0.00,0.00,11.24
Rhode Island,WHEAT,7.45,0.00,0.00,0.00,0.00,7.45
South Carolina,BARLEY,524.51,0.00,0.00,0.00,0.00,524.51
South Carolina,CORN,298694.21,0.00,121.35,1803.65,0.00,298815.56
South Carolina,OATS,12261.02,0.00,0.00,0.00,0.00,12261.02
South Carolina,RICE,105.22,0.00,0.00,0.00,0.00,105.22
South Carolina,SORGHUM,8674.29,0.00,0.00,42.20,0.00,8674.29
South Carolina,SOYBEANS,385590.80,0.00,75.20,5729.93,0.00,385666.00
South Carolina,WHEAT,98954.09,0.00,276.70,5368.99,0.00,99230.79
South Dakota,BARLEY,27464.69,0.00,110.00,59.70,0.00,27574.69
South Dakota,CORN,5650737.95,0.00,1931.09,544162.42,0.00,5652669.04
South Dakota,OATS,244139.37,7.51,1081.90,1073.24,0.00,245221.27
South Dakota,SORGHUM,211821.23,0.00,468.65,1185.53,0.00,212289.88
South Dakota,SOYBEANS,5037775.51,0.00,2852.49,183007.69,0.00,5040628.00
South Dakota,SUGAR BEETS,57.40,0.00,0.00,0.00,0.00,57.40
South Dakota,WHEAT,1489834.09,1574.91,42544.96,7992.50,0.00,1532379.05
Tennessee,BARLEY,2357.85,0.00,0.00,0.00,0.00,2357.85
Tennessee,CORN,797480.41,3.53,2048.44,11499.03,0.00,799528.85
Tennessee,OATS,3897.76,0.00,0.00,0.00,0.00,3897.76
Tennessee,RICE,1325.97,0.00,0.00,418.94,0.00,1325.97
Tennessee,SORGHUM,3021.85,0.00,0.00,0.00,0.00,3021.85
Tennessee,SOYBEANS,1602649.02,0.00,20.00,691.86,0.00,1602669.02
Tennessee,WHEAT,345201.91,0.00,563.12,8608.59,0.00,345765.03
Texas,BARLEY,33516.41,0.00,46.66,0.00,0.00,33563.07
Texas,CORN,2074828.56,0.00,22051.99,15418.67,0.00,2096880.55
Texas,OATS,312002.59,2089.61,738.30,0.00,0.00,312740.89
Texas,RICE,191613.91,0.00,0.00,46.75,0.00,191613.91
Texas,SORGHUM,1297998.26,20.00,34074.87,12093.34,0.00,1332073.13
Texas,SOYBEANS,143261.45,0.00,2008.68,2998.85,0.00,145270.13
Texas,WHEAT,6744600.61,4820.41,241693.31,8665.83,0.00,6986293.92
Utah,BARLEY,14939.49,58.93,21.83,70.00,0.00,14961.32
Utah,CORN,55681.67,0.00,0.00,273.73,0.00,55681.67
Utah,OATS,7344.03,0.00,0.00,0.00,0.00,7344.03
Utah,SORGHUM,615.87,0.00,0.00,0.00,0.00,615.87
Utah,SOYBEANS,29.37,0.00,0.00,0.00,0.00,29.37
Utah,WHEAT,114718.53,439.85,1888.55,0.00,0.00,116607.08
Vermont,BARLEY,101.45,0.00,0.00,0.00,0.00,101.45
Vermont,CORN,83510.90,0.00,9.89,30.94,0.00,83520.79
Vermont,OATS,45.95,0.00,0.00,0.00,0.00,45.95
Vermont,SORGHUM,7.97,0.00,0.00,0.00,0.00,7.97
Vermont,SOYBEANS,7857.11,0.00,0.00,0.00,0.00,7857.11
Vermont,WHEAT,860.99,0.00,33.28,0.00,0.00,894.27
Virgin Islands of the U.S.,CORN,0.07,0.00,0.00,0.00,0.00,0.07
Virginia,BARLEY,16575.84,0.00,0.00,0.00,0.00,16575.84
Virginia,CORN,391849.64,0.00,0.00,99.49,0.00,391849.64
Virginia,OATS,5141.87,0.00,0.00,0.00,0.00,5141.87
Virginia,SORGHUM,4775.24,0.00,0.00,0.00,0.00,4775.24
Virginia,SOYBEANS,602680.89,0.00,16.59,575.55,0.00,602697.48
Virginia,WHEAT,158321.71,0.00,428.67,0.00,0.00,158750.38
Washington,BARLEY,61352.22,63.46,0.00,542.07,0.00,61352.22
Washington,CORN,131316.85,0.00,0.00,423.37,0.00,131316.85
Washington,OATS,9852.91,150.09,0.00,0.00,0.00,9852.91
Washington,SORGHUM,191.55,0.00,0.00,0.00,0.00,191.55
Washington,SOYBEANS,198.59,0.00,0.00,0.00,0.00,198.59
Washington,SUGAR BEETS,2364.86,0.00,0.00,0.00,0.00,2364.86
Washington,WHEAT,2237144.22,1272.94,1092.74,2304.93,0.00,2238236.96
West Virginia,BARLEY,618.35,0.00,0.00,0.00,0.00,618.35
West Virginia,CORN,39109.77,0.00,0.00,43.86,0.00,39109.77
West Virginia,OATS,669.62,0.00,0.00,0.00,0.00,669.62
West Virginia,SORGHUM,385.52,0.00,0.00,0.00,0.00,385.52
West Virginia,SOYBEANS,29699.13,0.00,0.00,0.00,0.00,29699.13
West Virginia,WHEAT,5184.17,0.00,0.00,0.00,0.00,5184.17
Wisconsin,BARLEY,10647.94,1.74,35.56,5.11,0.00,10683.50
Wisconsin,CORN,3875687.57,0.00,589.16,17887.94,0.00,3876276.73
Wisconsin,OATS,121581.36,0.00,19.65,84.03,0.00,121601.01
Wisconsin,RICE,2.00,0.00,0.00,0.00,0.00,2.00
Wisconsin,SORGHUM,2281.30,0.00,0.00,0.00,0.00,2281.30
Wisconsin,SOYBEANS,2135354.53,0.00,788.82,4785.68,0.00,2136143.35
Wisconsin,SUGAR BEETS,34.91,0.00,0.00,0.00,0.00,34.91
Wisconsin,WHEAT,227823.50,116.73,1703.12,378.95,0.00,229526.62
Wyoming,BARLEY,66427.78,0.00,0.00,6.21,0.00,66427.78
Wyoming,CORN,90831.09,0.00,0.00,167.18,0.00,90831.09
Wyoming,OATS,20955.74,6.85,0.00,134.42,0.00,20955.74
Wyoming,SORGHUM,406.13,0.00,0.00,0.00,0.00,406.13
Wyoming,SOYBEANS,811.46,0.00,0.00,0.00,0.00,811.46
Wyoming,SUGAR BEETS,28342.23,0.00,1178.35,0.00,0.00,29520.58
Wyoming,WHEAT,111955.82,192.20,2415.89,115.96,0.00,114371.71
